Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Latitude,Longitude
Congo,COG,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),,65.42,64.57,67.61,68.42,76.47,69.8,75.41,80.16,79.74,76.96,64.86,61.18,68.53,61.99,63.03,63.11,69.42,60.34,56.86,56.03,54.8,64.62,65.3,62.51,62.27,64.15,67.63,69.75,70.51,69.97,,-0.228021,15.827659
Colombie,COL,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,38.06,36.82,33.07,33.01,33.77,33.54,33.62,25.67,25.82,28.99,27.85,27.08,28.63,30.55,29.04,28.94,29.58,30.3,29.85,30.78,29.63,28.74,28.8,32.13,32.22,31.46,30.6,32.38,30.57,31.5,31.31,4.570868,-74.297333
Comores,COM,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,74.0,73.4,73.63,73.06,73.29,73.0,73.44,72.92,71.54,71.09,69.87,69.51,70.31,64.39,63.52,65.74,61.81,74.36,73.44,68.53,66.02,68.99,67.5,62.23,65.8,64.06,60.4,56.32,54.59,53.0,48.29,-11.875001,43.872219
Cabo Verde,CPV,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,21.07,26.27,26.34,30.42,32.43,30.82,30.19,30.49,30.03,26.86,27.88,25.97,25.98,24.83,24.38,23.88,21.18,21.04,23.81,22.08,21.22,20.78,24.26,25.94,26.11,26.35,26.31,24.66,23.13,22.41,23.42,16.002082,-24.013197
Costa Rica,CRI,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,45.37,44.68,35.12,36.28,35.82,35.01,36.6,33.58,28.89,29.89,32.95,32.1,32.54,33.3,39.16,41.73,42.4,41.18,40.7,40.72,40.39,38.02,38.06,37.8,37.62,38.33,34.11,33.33,33.13,33.42,36.43,9.748917,-83.753428
Cuba,CUB,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,42.89,47.18,51.31,46.87,45.78,41.26,41.43,36.8,34.81,33.71,34.43,34.05,34.8,33.56,33.77,26.31,21.96,18.59,18.73,18.97,15.61,19.2,19.38,18.24,23.16,21.15,19.2,22.0,23.99,23.14,23.93,21.521757,-77.781167
Curacao,CUW,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.1,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.63,0.6,0.61,0.61,0.6,0.59,0.58,0.51,0.51,0.5,0.5,0.57,1.12,1.36,1.31,1.42,1.86,2.55,2.48,2.78,12.186111,-68.989444
Îles Caïmans,CYM,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,19.513469,-80.566956
Chypre,CYP,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,0.49,0.36,0.34,0.33,0.72,3.33,3.33,3.27,3.24,3.2,3.08,3.03,3.16,3.24,3.29,3.34,3.5,4.32,5.45,6.29,6.5,7.6,8.6,9.73,9.49,10.41,10.27,10.94,12.02,11.97,15.02,35.126413,33.429859
République tchèque,CZE,Consommation d’énergies renouvelables (% de la consommation totale d’énergie),EG.FEC.RNEW.ZS,3.57,3.98,5.9,5.82,5.91,5.3,5.24,5.65,5.97,6.48,5.94,6.29,7.28,6.72,7.13,7.53,7.88,8.32,8.99,10.25,10.95,12.16,12.8,13.95,14.85,14.84,14.77,14.46,14.72,15.88,16.97,49.817492,15.472962
